place_id,name,lat,lng,address,types,rating,user_ratings_total,phone,website,opening_hours_present,source_query,category
ChIJF2_wv4lHDW0R47WKR5aSdmE,Onslow,-36.84768529999999,174.7699566,"9 Princes Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.8,1289.0,+64 9 930 9123,http://www.onslow.nz/,True,restaurant in Auckland,restaurant
ChIJKWPi4S5HDW0R-Ao9My5Mf48,Gilt Brasserie,-36.84765489999999,174.7671961,"2 Chancery Street, Chambers, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,613.0,+64 9 300 3126,https://giltbrasserie.nz/,True,restaurant in Auckland,restaurant
ChIJjz8Dgf5HDW0RcKfgUZdV8fw,Amano,-36.8444119,174.770464,"66 - 68, Tyler Street, Britomart Place, Auckland Central, Auckland 1010, New Zealand","bakery,establishment,food,point_of_interest,restaurant,store",4.6,4358.0,+64 9 394 1416,https://savor.co.nz/amano,True,restaurant in Auckland,restaurant
ChIJdQU6o-RHDW0RBI93MBK5gcU,Hello Beasty,-36.8431117,174.7624635,"95-97 Customs Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,1394.0,+64 21 554 496,http://hellobeasty.nz/,True,restaurant in Auckland,restaurant
ChIJKZLQLLRHDW0R_F9vtz1cjiQ,alma,-36.84408579999999,174.7691648,"130 Quay Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,405.0,+64 9 242 1570,http://www.alma.nz/,True,restaurant in Auckland,restaurant
ChIJS_i53flHDW0R6H8fEWgxVfk,Soul Bar & Bistro,-36.8434055,174.7630167,"Corner of Lower Hobson Street, Customs Street West, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.5,2315.0,+64 9 356 7249,http://www.soulbar.co.nz/,True,restaurant in Auckland,restaurant
ChIJQ3yEHpFHDW0Rka8ZeCQTnsc,Prego Restaurant,-36.852697,174.744828,"226 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.6,2031.0,+64 9 376 3095,http://www.prego.co.nz/,True,restaurant in Auckland,restaurant
ChIJZRJ2-fpHDW0RbWGgZq__SR4,Culprit.,-36.8473823,174.7650338,"Level 1/12 Wyndham Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,579.0,+64 9 377 5992,http://www.culprit.co.nz/,True,restaurant in Auckland,restaurant
ChIJMTPDyKdHDW0RrQ05a1Yl4hI,Milenta,-36.8485532,174.7546801,"210-218 Victoria Street West, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,282.0,+64 274 404 410,http://www.milenta.co.nz/,True,restaurant in Auckland,restaurant
ChIJn3Evd2xHDW0RWNG-B0TrPxg,Ahi.,-36.84356150000001,174.766454,"Commercial Bay Level 2/7 Queen Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,1067.0,+64 22 524 4255,http://ahi.restaurant/,True,restaurant in Auckland,restaurant
ChIJzV2foiBGDW0ROPBzbgZDJuc,One Tree Grill,-36.8998252,174.77273,"9 Pah Road, Epsom, Auckland 1023, New Zealand","establishment,food,point_of_interest,restaurant",4.8,1585.0,+64 9 909 7215,https://www.onetreegrill.co.nz/,True,restaurant in Auckland,restaurant
ChIJ6xqrBUpHDW0RTkGfs86hr6c,Metita,-36.849185,174.7623444,"Level 3/90 Federal Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,188.0,+64 9 363 7030,https://skycityauckland.co.nz/restaurants/metita/,True,restaurant in Auckland,restaurant
ChIJ2f8MNVNHDW0Rlapwj_a7m2w,Origine Bistro,-36.8439762,174.7661423,"Commercial Bay Level 2/172 Quay Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.5,413.0,+64 27 674 4463,http://www.origine.nz/,True,restaurant in Auckland,restaurant
ChIJH0QT3l9HDW0R0f5rIVly8yw,Bossi,-36.8455876,174.7680713,"10 Commerce Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,967.0,+64 9 948 0906,http://www.bossi.co.nz/,True,restaurant in Auckland,restaurant
ChIJ7UV0PmA4DW0R44MsmijS--o,Moxie Restaurant,-36.8176563,174.7325474,"82 Hinemoa Street, Birkenhead, Auckland 0626, New Zealand","establishment,food,point_of_interest,restaurant",4.8,521.0,+64 9 419 9082,http://www.moxierestaurant.co.nz/,True,restaurant in Auckland,restaurant
ChIJ6esl0z5HDW0RL8AMaU22H8k,Tempero,-36.8580455,174.757105,"352 Karangahape Road, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.9,447.0,+64 9 218 2011,http://www.temperoakl.com/,True,restaurant in Auckland,restaurant
ChIJsR8Kx2k4DW0RjYOZyig1xDw,The Engine Room,-36.8180556,174.7455556,"115 Queen Street, Northcote Point, Auckland 0627, New Zealand","establishment,food,point_of_interest,restaurant",4.5,382.0,+64 9 480 9502,http://www.engineroom.net.nz/,True,restaurant in Auckland,restaurant
ChIJi1WB6AdHDW0R0WK3WE8zXQg,Ada Restaurant,-36.8672616,174.7402636,"454 Great North Road, Grey Lynn, Auckland 1021, New Zealand","establishment,food,point_of_interest,restaurant",4.6,897.0,+64 210 909 0101,http://www.adarestaurant.co.nz/,True,restaurant in Auckland,restaurant
ChIJC-hvnDpHDW0RXuKc8YA3m-8,BODA,-36.84454,174.7671976,"Top Floor/8 Customs Street East, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.2,242.0,+64 9 302 9424,https://boda.restaurant/,True,restaurant in Auckland,restaurant
ChIJI-nDigpHDW0R3viWyJ_06Yc,Paname Social,-36.8495923,174.7658133,"1/3 Lorne Street, Auckland Central, Auckland 1010, New Zealand","bar,cafe,establishment,food,point_of_interest,restaurant",4.3,291.0,+64 9 884 0983,https://www.panamesocial.co.nz/?fbclid=PAAaaXQSPI3joeLPNoRLab4I5l7rWlAQLA_ECggdM8gEhv_l--75ubGUZiiQ4,True,restaurant in Auckland,restaurant
