place_id,name,lat,lng,address,rating,user_ratings_total,business_status,types,source_query
ChIJF2_wv4lHDW0R47WKR5aSdmE,Onslow,-36.84768529999999,174.7699566,"9 Princes Street, Auckland Central, Auckland 1010, New Zealand",4.8,1331.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJKZLQLLRHDW0R_F9vtz1cjiQ,alma,-36.84408579999999,174.7691648,"130 Quay Street, Auckland Central, Auckland 1010, New Zealand",4.7,413.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJS_i53flHDW0R6H8fEWgxVfk,Soul Bar & Bistro,-36.8433935,174.7630217,"Corner of Lower Hobson Street, Customs Street West, Auckland 1010, New Zealand",4.5,2338.0,OPERATIONAL,"bar,restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJn3Evd2xHDW0RWNG-B0TrPxg,Ahi.,-36.84356150000001,174.766454,"Commercial Bay Level 2/7 Queen Street, Auckland Central, Auckland 1010, New Zealand",4.6,1106.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJzV2foiBGDW0ROPBzbgZDJuc,One Tree Grill,-36.8998252,174.77273,"9 Pah Road, Epsom, Auckland 1023, New Zealand",4.8,1604.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJjz8Dgf5HDW0RcKfgUZdV8fw,Amano,-36.8444119,174.770464,"66 - 68, Tyler Street, Britomart Place, Auckland 1010, New Zealand",4.6,4423.0,OPERATIONAL,"restaurant,bakery,store,food,point_of_interest,establishment",restaurant in Auckland
ChIJk7fiDvBHDW0R9qAp_JPxDeE,Depot,-36.8490375,174.7623495,"86 Federal Street, Auckland Central, Auckland 1010, New Zealand",4.6,2050.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJFVXaZgU5DW0R9CGge9LDFoc,The Postman's Leg,-36.7839458,174.7226072,"43-51 Downing Street, Glenfield, Auckland 0629, New Zealand",4.2,2444.0,OPERATIONAL,"bar,restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJKWPi4S5HDW0R-Ao9My5Mf48,Gilt Brasserie,-36.84765489999999,174.7671961,"2 Chancery Street, Chambers, Auckland 1010, New Zealand",4.6,648.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJdQU6o-RHDW0RBI93MBK5gcU,Hello Beasty,-36.8431117,174.7624635,"95-97 Customs Street West, Auckland Central, Auckland 1010, New Zealand",4.7,1419.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJ6esl0z5HDW0RL8AMaU22H8k,Tempero,-36.8580455,174.757105,"352 Karangahape Road, Auckland Central, Auckland 1010, New Zealand",5.0,470.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJZRJ2-fpHDW0RbWGgZq__SR4,Culprit.,-36.8473823,174.7650338,"Level 1/12 Wyndham Street, Auckland Central, Auckland 1010, New Zealand",4.7,594.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJ2f8MNVNHDW0Rlapwj_a7m2w,Origine Bistro,-36.8439762,174.7661423,"Commercial Bay Level 2/172 Quay Street, Auckland Central, Auckland 1010, New Zealand",4.5,426.0,OPERATIONAL,"restaurant,bar,food,point_of_interest,establishment",restaurant in Auckland
ChIJMTPDyKdHDW0RrQ05a1Yl4hI,Milenta,-36.8485532,174.7546801,"210-218 Victoria Street West, Auckland 1010, New Zealand",4.7,307.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJI-nDigpHDW0R3viWyJ_06Yc,Paname Social,-36.8495923,174.7658133,"1/3 Lorne Street, Auckland Central, Auckland 1010, New Zealand",4.3,294.0,OPERATIONAL,"cafe,bar,restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJi1WB6AdHDW0R0WK3WE8zXQg,Ada Restaurant,-36.8672616,174.7402636,"454 Great North Road, Grey Lynn, Auckland 1021, New Zealand",4.6,911.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJXUoYKw45DW0RVnRNKzfKFuw,Paasha,-36.7807211,174.7213061,"444 Glenfield Road, Glenfield, Auckland 0629, New Zealand",4.5,1185.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJC-hvnDpHDW0RXuKc8YA3m-8,BODA,-36.84454,174.7671976,"Top Floor/8 Customs Street East, Auckland Central, Auckland 1010, New Zealand",4.2,248.0,OPERATIONAL,"bar,restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJ6xqrBUpHDW0RTkGfs86hr6c,Metita,-36.849185,174.7623444,"Level 3/90 Federal Street, Auckland Central, Auckland 1010, New Zealand",4.6,213.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
ChIJxcY1GSJHDW0RZ__hwRVJPnw,Mr. Morris,-36.844765,174.7682328,"Britomart, Corner of Galway & Commerce Street, Auckland Central, Auckland 1010, New Zealand",4.7,377.0,OPERATIONAL,"restaurant,food,point_of_interest,establishment",restaurant in Auckland
