place_id,name,lat,lng,address,types,rating,user_ratings_total,phone,website,opening_hours_present,source_query
ChIJi0AjXABTDW0RJIGlxzy14Ok,The Village - Park Green,-37.08612979999999,174.9298223,"180 Park Estate Road, Rosehill, Auckland 2113, New Zealand","establishment,point_of_interest,shopping_mall",4.0,1.0,,,False,grid_classic_shopping_mall
ChIJde6YUdSscm0RwrJBcuGmb3U,Papakura Photo Image Centre,-37.0642354,174.9430795,"7/231 Great South Road, Papakura, Auckland 2110, New Zealand","establishment,point_of_interest,shopping_mall",3.1,26.0,+64 9 298 2660,,True,grid_classic_shopping_mall
ChIJ5zWcqtWscm0R6OcsEEFPjS0,Accent Centre,-37.0637655,174.9427448,"209 Great South Road, Papakura, Auckland 2110, New Zealand","establishment,point_of_interest,shopping_mall",5.0,1.0,+64 9 978 2665,http://www.aucklandlibraries.govt.nz/,True,grid_classic_shopping_mall
ChIJX_rGozBTDW0RmVC1KGXWh6Y,Takanini Gateway,-37.0395447,174.9146466,"108 Great South Road, Takanini, Auckland 2112, New Zealand","establishment,point_of_interest,shopping_mall",4.4,13.0,+64 9 869 8328,,True,grid_classic_shopping_mall
ChIJTfOOisFSDW0R4FxjgHegXVU,Splash Group Limited,-37.0441331,174.9207579,"180 D Great South Road, Takanini, Auckland 2112, New Zealand","establishment,point_of_interest,shopping_mall",1.5,10.0,+64 508 176 278,,False,grid_classic_shopping_mall
ChIJmb1jdCdPDW0RIff0kbDAI-E,Shine On Mānawa Bay,-36.9955361,174.8013837,"4 Jimmy Ward Crescent, Auckland Airport, Auckland 2022, New Zealand","establishment,point_of_interest,shopping_mall",,,,https://shineon.co.nz/,True,grid_classic_shopping_mall
ChIJETs9bgBPDW0RCQZzJvoTikE,Connor Manawa Bay,-36.9972548,174.8003401,"Mānawa Bay Shop T032/4 Jimmy Ward Crescent, Auckland Airport, Auckland 2022, New Zealand","clothing_store,establishment,point_of_interest,shopping_mall,store",2.7,3.0,+64 9 558 4959,https://www.connor.com.au/nz,True,grid_classic_shopping_mall
ChIJx8Xqy7RPDW0R4sM56_svBBE,Bed Bath & Beyond Mānawa Bay Outlet Centre,-36.9972548,174.8003401,"4 Jimmy Ward Crescent, Auckland Airport, Auckland 2022, New Zealand","establishment,point_of_interest,shopping_mall",3.4,7.0,+64 9 558 5326,https://www.bedbathandbeyond.co.nz/bb-and-b-manawa-bay?utm_source=google&utm_medium=gmb&utm_campaign=manawabay,True,grid_classic_shopping_mall
ChIJC9BNaQBPDW0R5oDFNBUOdQE,Macpac Outlet @ Manawa Bay,-36.9974526,174.8029877,"unit g/4 Jimmy Ward Crescent, Auckland Airport, Auckland 2022, New Zealand","establishment,point_of_interest,shopping_mall",4.0,8.0,+64 9 257 1453,,False,grid_classic_shopping_mall
ChIJu9MLnctNDW0R76a0DISm7OU,Manukau Supa Centa,-36.99164,174.8714373,"Corner Lambie &, Cavendish Drive, Manukau City Centre, Auckland 2104, New Zealand","establishment,point_of_interest,shopping_mall",4.3,3008.0,+64 9 272 3888,http://www.manukausupacenta.co.nz/,True,grid_classic_shopping_mall
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,Cavendish Court,-36.9877504,174.8746154,"Cavendish Drive, Manukau City Centre, Auckland 2104, New Zealand","establishment,point_of_interest,shopping_mall",4.1,198.0,,,False,grid_classic_shopping_mall
ChIJS7YXr3lODW0RKnXqcBZPlxI,Old Papatoetoe Shopping Centre,-36.98007450000001,174.8538611,"Papatoetoe, Auckland 2025, New Zealand","establishment,point_of_interest,shopping_mall",4.2,828.0,+64 9 277 6649,,True,grid_classic_shopping_mall
ChIJ7R-fEbNNDW0R5KihkMDYXOk,Kiwi Discount Limited,-36.9796412,174.8538798,"Shop 5/63 Saint George Street, Papatoetoe, Auckland 2025, New Zealand","establishment,point_of_interest,shopping_mall,store",4.9,31.0,+64 210 822 7765,http://www.kiwidiscount.co.nz/,True,grid_classic_shopping_mall
ChIJb0a9xbtNDW0RQG3PiSi7l8g,Southpoint,-36.9866013,174.8827078,"652 Great South Road, Manukau City Centre, Auckland 2104, New Zealand","establishment,point_of_interest,shopping_mall",4.3,204.0,+64 9 262 0903,http://www.southpointmanukau.co.nz/contact.html,True,grid_classic_shopping_mall
ChIJx-YpicBNDW0R8u3eKSmUTAw,Shoppadelics,-36.9963818,174.8953402,"57A Everglade Drive, Goodwood Heights, Auckland 2105, New Zealand","establishment,point_of_interest,shopping_mall",5.0,1.0,+64 21 861 783,,True,grid_classic_shopping_mall
ChIJL7IxFppNDW0RbzIeiQ6DUhQ,Pacific square,-37.0010985,174.8894755,"792 Great South Road, Wiri, Auckland 2104, New Zealand","establishment,point_of_interest,shopping_mall",4.3,33.0,+64 6 928 1180,,True,grid_classic_shopping_mall
ChIJK3LLlQZNDW0R56b_-xddtf0,Laundromat,-36.9808111,174.9030636,"Shop 7/2 Thomas Road, Flat Bush, Auckland 2019, New Zealand","establishment,point_of_interest,shopping_mall",4.5,41.0,,,True,grid_classic_shopping_mall
ChIJA-Pyr41PDW0RnQL95CuCXPU,Crush Beauty,-36.9746704,174.7839813,"25 Richard Pearse Drive, Airport Oaks, Auckland 2022, New Zealand","establishment,point_of_interest,shopping_mall,store",4.3,156.0,+64 9 634 2127,http://crushbeauty.co.nz/,True,grid_classic_shopping_mall
ChIJKb6NmqBPDW0Re6dfN2MQwRY,Easy Life Plastic,-36.9698558,174.7975978,"49 Orly Avenue, Māngere, Auckland 2022, New Zealand","establishment,point_of_interest,shopping_mall",5.0,2.0,+64 9 257 0588,,True,grid_classic_shopping_mall
ChIJ5T7OdNdPDW0RtWL-Q-ORqWM,MJ Mall,-36.9664559,174.8250674,"359 Massey Road, Māngere East, Auckland 2024, New Zealand","establishment,point_of_interest,shopping_mall",,,,https://www.mjmall.co.nz/,False,grid_classic_shopping_mall
ChIJ5Tt34nFPDW0R-eILF9kAchA,Savill Superette,-36.9572824,174.8333672,"1 Savill Drive, Māngere East, Auckland 2024, New Zealand","establishment,point_of_interest,shopping_mall",4.0,4.0,,,False,grid_classic_shopping_mall
ChIJhbvO6s1PDW0RK54NPdHOtwg,Glar1951,-36.948255,174.8369241,"33 Lippiatt Road, Ōtāhuhu, Auckland 1062, New Zealand","establishment,point_of_interest,shopping_mall",,,+372 5906 3053,,False,grid_classic_shopping_mall
ChIJ-WMyT1xNDW0Rtjn700o06U0,토요 마켓,-36.9622374,174.8721296,"1 Newbury Street, Ōtara, Auckland 2023, New Zealand","establishment,point_of_interest,shopping_mall",,,,,True,grid_classic_shopping_mall
ChIJcZ3xZIBADW0R3_SwUH3z8zc,Otara Town Centre,-36.9611828,174.8736046,"Ōtara, Auckland 2023, New Zealand","establishment,point_of_interest,shopping_mall",4.0,1363.0,+64 9 274 3414,https://www.otara.co.nz/,True,grid_classic_shopping_mall
ChIJixn9wDlMDW0Ru82COKgskX8,The Race Place,-36.9607372,174.8739252,"Ōtara, Auckland 2023, New Zealand","establishment,point_of_interest,shopping_mall",4.7,3.0,+64 9 272 8505,,True,grid_classic_shopping_mall
ChIJpxTeIqdJDW0R3vCZtJqRGzI,Lucy's,-36.9538588,174.8953625,"NZ, Unit 13/375 East Tamaki Road, East Tāmaki, Auckland 2013, New Zealand","clothing_store,establishment,point_of_interest,shopping_mall,store",3.3,97.0,,http://www.lucys.co.nz/,True,grid_classic_shopping_mall
ChIJdZdSYspNDW0RlaZ3g6poVGs,Ormiston Town Centre,-36.964327,174.9144985,"240 Ormiston Road, Flat Bush, Auckland 2016, New Zealand","establishment,point_of_interest,shopping_mall",4.4,1512.0,+64 9 553 7075,https://ormistontown.co.nz/,True,grid_classic_shopping_mall
ChIJic3EJJBFDW0RkN5c63_-Vo8,Lehera Fashions,-36.9286317,174.7141879,"18 Strathnaver Crescent, Lynfield, Auckland 1042, New Zealand","establishment,point_of_interest,shopping_mall",5.0,4.0,+64 21 795 721,https://leherafashions.com/,False,grid_classic_shopping_mall
ChIJb33g37tODW0RtRrSkuCBTow,Op Shop St Andrew’s Otahuhu,-36.9428029,174.8410038,"22 Station Road, Ōtāhuhu, Auckland 1062, New Zealand","establishment,point_of_interest,shopping_mall",3.8,6.0,+64 9 276 8365,https://standrewsotahuhu.org/,True,grid_classic_shopping_mall
ChIJBbu1zHxPDW0RnQX-nkoOZ-Y,Otahuhu Shopping Centre,-36.9453416,174.8447765,"Main street Great South Road, Ōtāhuhu, Auckland 1064, New Zealand","establishment,point_of_interest,shopping_mall",4.2,263.0,+64 9 270 8571,,True,grid_classic_shopping_mall
