place_id,name,lat,lng,address,types,rating,user_ratings_total,phone,website,opening_hours_present,source_query
ChIJY5ETuM2gEm0RFg6D9SQ6qsE,Bhana's Foodmarket & Takeaways,-37.1117172,174.6159085,"2619 Awhitu Road, Matakawau, Auckland 2684, New Zealand","convenience_store,establishment,food,liquor_store,meal_takeaway,point_of_interest,restaurant,store",4.7,28.0,+64 9 235 1016,,True,grid_classic_tourist_attraction
ChIJ9ZbEMHtUDW0Ryc_oIcD-FWQ,Karaka Community Event Centre @ Karaka Sports Park,-37.1014611,174.8789418,"372 Blackbridge Road, Karaka 2580, New Zealand","establishment,food,park,point_of_interest,restaurant",4.4,177.0,+64 9 292 7588,https://www.karakasportspark.co.nz/,False,grid_classic_tourist_attraction
ChIJASVaaABVDW0RqMKsv4Zyo-A,Little Eats,-37.1014867,174.8791453,"372 Blackbridge Road, Karaka 2580, New Zealand","establishment,food,point_of_interest,restaurant",5.0,3.0,+64 9 292 7400,http://www.littleeats.co.nz/,False,grid_classic_tourist_attraction
ChIJfeVmBolTDW0Ra6Js8Vqvk0c,Karaka General Store and Cafe,-37.0986319,174.8849175,"257 Linwood Road, Karaka 2580, New Zealand","cafe,establishment,food,point_of_interest,restaurant",4.5,350.0,+64 9 291 9303,https://www.facebook.com/karakageneralcafeandstore/,True,grid_classic_tourist_attraction
ChIJM_Iu0OhSDW0R1tj54gSPoy0,Autobahn Cafe Papakura,-37.0877458,174.9398176,"State Highway 1, Rosehill, Auckland 2113, New Zealand","establishment,food,point_of_interest,restaurant",4.0,1724.0,+64 9 296 2299,http://www.autobahncafe.co.nz/,True,grid_classic_tourist_attraction
ChIJRefxMsVUDW0RdLgnn-o6BrU,McDonald's Drury MSA,-37.0875164,174.9396903,"Shop no. 2, BP Motorway Service Centre, Auckland Southern Motorway, Rosehill, Auckland 2113, New Zealand","establishment,food,point_of_interest,restaurant",3.6,3069.0,+64 9 296 6395,https://mcdonalds.co.nz/find-us/restaurants?utm_source=organic&utm_medium=google-my-business,True,grid_classic_tourist_attraction
ChIJZy-EPtutcm0RwXTSsP15Yng,MADE Cafe,-37.1022131,174.9404391,"183 Bremner Road, Auckland 2113, New Zealand","cafe,establishment,food,point_of_interest,restaurant",3.7,14.0,,https://www.made-cafe.com/,True,grid_classic_tourist_attraction
ChIJ-zxyFjJTDW0RDSD0tBGseyw,Park Green Cafe & Bar,-37.0862237,174.9298277,"180 Park Estate Road, Rosehill, Auckland 2113, New Zealand","establishment,food,point_of_interest,restaurant",4.8,65.0,+64 9 218 9599,https://parkgreencafe.co.nz/,True,grid_classic_tourist_attraction
ChIJKYfFqExTDW0R0_hoHm2Dijs,wildbean cafe,-37.0883061,174.9398763,"Auckland Southern Motorway, Rosehill, Auckland 2113, New Zealand","bakery,cafe,establishment,food,point_of_interest,restaurant,store",3.3,25.0,+64 9 296 4530,https://www.bp.com/en_nz/new-zealand/home.html,True,grid_classic_tourist_attraction
ChIJkeIdl6escm0RGpBhR7-EWmo,Ned's Roasts,-37.1028905,174.9524112,"5/232 Great South Road, Auckland 2113, New Zealand","establishment,food,meal_takeaway,point_of_interest,restaurant",4.5,189.0,+64 9 294 9010,https://www.drurymotorlodge.com/,True,grid_classic_tourist_attraction
ChIJmeDsHqascm0R8ziHIqWYqks,Murphy's Law Irish Bar,-37.1007618,174.9515078,"200 Great South Road, Drury 2113, New Zealand","bar,establishment,food,lodging,point_of_interest,restaurant,rv_park",4.3,939.0,+64 9 294 9054,http://www.murphyslawirishbar.co.nz/,True,grid_classic_tourist_attraction
ChIJfb1syXqtcm0RBmBz7MNoc8s,Mum’s Sushi,-37.1033793,174.9522345,"232 Great South Road, Drury 2113, New Zealand","establishment,food,point_of_interest,restaurant",4.4,27.0,+64 9 294 8825,,True,grid_classic_tourist_attraction
