place_id,name,lat,lng,address,types,source_query
ChIJYSSuqIFeDW0RUAqdJGLvAA8,Āwhitu Regional Park,-37.0916575,174.6522662,"Brook Road, Āwhitu","park,tourist_attraction,point_of_interest,establishment",park
ChIJ1QL4cyBdDW0RcU21rEmrs2A,Awhitu Environmental Camp,-37.1015887,174.6560049,"Regional Park Brook Road, Āwhitu","campground,park,lodging,point_of_interest,establishment",park
ChIJL8iQ5ElfDW0RGehL9xBV-lY,Āwhitu Presbyterian Camp,-37.1019784,174.6560365,"336 Hatton Road, Āwhitu","campground,park,lodging,point_of_interest,establishment",park
ChIJgZyA-UtfDW0RvhGJL0vdwOQ,Brooks Beach,-37.0955837,174.6575846,"320 Hatton Road, Āwhitu","park,point_of_interest,establishment",park
ChIJQ8v7JchfDW0RkBCT_X4qltU,Awhitu Regional Park lookout,-37.0991038,174.6537831,"WM23+9G, Āwhitu","park,point_of_interest,establishment",park
ChIJTemh4BVfDW0RD5QuEaMt02k,Peninsula Campground,-37.0936106,174.6553881,"WM44+H5, Āwhitu","campground,park,lodging,point_of_interest,establishment",park
ChIJ-2xVMiJfDW0RGW9tBij3dQU,Brook campground,-37.0937114,174.6529979,"WM43+G5, Āwhitu","campground,park,lodging,point_of_interest,establishment",park
ChIJOX9eY7xdDW0R5IcRfY3lagk,Kauritutahi Beach,-37.0909044,174.6534964,"Āwhitu Regional Park Brook Road, Āwhitu","park,point_of_interest,establishment",park
ChIJ9ZbEMHtUDW0Ryc_oIcD-FWQ,Karaka Community Event Centre @ Karaka Sports Park,-37.1014611,174.8789418,"372 Blackbridge Road, Karaka","park,restaurant,food,point_of_interest,establishment",park
ChIJs9aSylVTDW0R_uDv6yLa0J8,Fortland Park,-37.0991502,174.8768047,"6 Dyke Road, Karaka","park,cafe,food,point_of_interest,establishment",park
ChIJx5mzgHVUDW0RIaBJ8HtZycc,Karaka Recreational Reserve,-37.1009769,174.8799187,,"park,premise,point_of_interest,establishment",park
ChIJm4pP2_ZTDW0R009HejJ3qr0,Karaka Landing,-37.0853315,174.9071285,"370 Hingaia Road, Karaka","park,point_of_interest,establishment",park
ChIJvzkOj6xTDW0R_-ObfCIFc6o,Hingaia Reserve Freedom camping for SCV,-37.0854904,174.9076664,"370 Hingaia Road, Karaka","campground,park,lodging,point_of_interest,establishment",park
ChIJG_juLMdTDW0RTW2Fe-wiSd4,Bremner Esplanade Reserve,-37.0967329,174.9393789,Karaka,"park,point_of_interest,establishment",park
ChIJp6ksBDitcm0R20kdU8ufSp8,Auranga Dog Park,-37.098897,174.9409548,"213 Bremner Road, Karaka","park,point_of_interest,establishment",park
