place_id,name,lat,lng,address,types,source_query
ChIJY5ETuM2gEm0RFg6D9SQ6qsE,Bhana's Foodmarket & Takeaways,-37.1117172,174.6159085,"2619 Awhitu Road, Matakawau, Auckland","convenience_store,meal_takeaway,liquor_store,store,restaurant,food,point_of_interest,establishment",restaurant
ChIJ9ZbEMHtUDW0Ryc_oIcD-FWQ,Karaka Community Event Centre @ Karaka Sports Park,-37.1014611,174.8789418,"372 Blackbridge Road, Karaka","park,restaurant,food,point_of_interest,establishment",restaurant
ChIJASVaaABVDW0RqMKsv4Zyo-A,Little Eats,-37.1014867,174.8791453,"372 Blackbridge Road, Karaka","restaurant,food,point_of_interest,establishment",restaurant
ChIJfeVmBolTDW0Ra6Js8Vqvk0c,Karaka General Store and Cafe,-37.0986319,174.8849175,"257 Linwood Road, Karaka","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJM_Iu0OhSDW0R1tj54gSPoy0,Autobahn Cafe Papakura,-37.08774579999999,174.9398176,"State Highway 1, Rosehill, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJRefxMsVUDW0RdLgnn-o6BrU,McDonald's Drury MSA,-37.0875164,174.9396903,"Shop no. 2, BP Motorway Service Centre, Auckland Southern Motorway, Rosehill, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJZy-EPtutcm0RwXTSsP15Yng,MADE Cafe,-37.1022131,174.9404391,"183 Bremner Road, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJ-zxyFjJTDW0RDSD0tBGseyw,Park Green Cafe & Bar,-37.0862237,174.9298277,"180 Park Estate Road, Rosehill, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJKYfFqExTDW0R0_hoHm2Dijs,wildbean cafe,-37.0883061,174.9398763,"Auckland Southern Motorway, Rosehill, Auckland","cafe,bakery,store,restaurant,food,point_of_interest,establishment",restaurant
ChIJkeIdl6escm0RGpBhR7-EWmo,Ned's Roasts,-37.1028905,174.9524112,"5/232 Great South Road, Auckland","restaurant,meal_takeaway,food,point_of_interest,establishment",restaurant
ChIJmeDsHqascm0R8ziHIqWYqks,Murphy's Law Irish Bar,-37.1007618,174.9515078,"200 Great South Road, Drury","bar,rv_park,lodging,restaurant,food,point_of_interest,establishment",restaurant
ChIJfb1syXqtcm0RBmBz7MNoc8s,Mum’s Sushi,-37.1033793,174.9522345,"232 Great South Road, Drury","restaurant,food,point_of_interest,establishment",restaurant
ChIJe96UJ6etcm0Rnf_YUfAnGFU,Curry & Craft Indian Restaurant,-37.10373999999999,174.952117,"11/236 Great South Road, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJh6rk8SVTDW0RHhiQyI3AQuc,Karaka Spice Junction,-37.0839268,174.9075999,"322 Hingaia Road, Karaka","meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJgzIZtNWscm0R0c__C7Mkh5g,New Ruby Restaurant,-37.0635525,174.9437524,"2 Averill Street, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJ8YreyNWscm0R5hm19TKf7s8,Wild Orchid Thai Restaurant,-37.0635227,174.9439223,"6 Averill Street, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJKZ-vmtWscm0R_0VQ7438jB4,The Emerald Thai Restaurant,-37.0619444,174.9433333,"60 O'Shannessy Street, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJHdlxLSutcm0RMw89IS8BT0I,Wendy's Hamburgers,-37.0580163,174.9401924,"80/82 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJd2ktddWscm0RF5Fkc7jsKKg,Ezmeralda's Cafe,-37.06251869999999,174.9429842,"23 Broadway, Papakura, Auckland","restaurant,cafe,food,point_of_interest,establishment",restaurant
ChIJ22Z-MtWscm0RBtmF1sbxIyo,Pizza Hut,-37.0629699,174.9402186,"25B Elliot Street, Papakura, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJI50G1Sqtcm0R68HY5lxSlvM,KFC,-37.058516,174.940423,"Great South Road, Papakura, Auckland","meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJJbCvWjRTDW0RqAtr2eIL_vI,Rosehill Shopping Centre,-37.0791114,174.9369218,"27 Edinburgh Avenue, Rosehill, Auckland","shopping_mall,laundry,meal_takeaway,grocery_or_supermarket,liquor_store,store,restaurant,food,point_of_interest,establishment",restaurant
ChIJG-2oOdWscm0Rzfw2q727T7g,Galaxy Pizza,-37.0627959,174.9410009,"16 East Street, Papakura, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJqfWVCNWscm0Rfz6j9VQSDwg,Satay Noodle House,-37.063129,174.942459,"183 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJWy_RadSscm0RUWkn_a-nBF8,The Pizza Box,-37.0652717,174.9435757,"58 Wood Street, Papakura, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJ31tZRdSscm0RHQmKb2pXHL0,Red Earth Bistro and Wine Bar,-37.0645932,174.9434416,"255 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJq-03oYlIDW0R4dxxcUbwNl4,Noodle Canteen Papakura,-37.061636,174.941206,"123 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJzdsLVNKscm0RM2sjWcqgINA,Subway,-37.0626354,174.9424586,"160 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJ9QGjotWscm0R4rNQZy4wTBc,Salt & Pepper restaurant,-37.0623077,174.9431124,"32 Broadway, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJZTkEriqtcm0R8PK5U7qaF3Y,McDonald's Papakura,-37.059984,174.9402132,"101 Great South Road, Papakura, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJHWncyiqtcm0REH2IN6q1YZQ,HELL Pizza Papakura,-37.05962659999999,174.940182,"89 Great South Road, Papakura, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
