place_id,name,lat,lng,address,types,source_query
ChIJYSSuqIFeDW0RUAqdJGLvAA8,Āwhitu Regional Park,-37.0916575,174.6522662,"Brook Road, Āwhitu","park,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJ45Mf6Cyvcm0RaxuISC_7YaY,Tree Heart Park,-37.1046129,175.1038186,"66 Head Road, Papakura, Hunua","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJ5zWcqtWscm0R6z-vNQcgYTA,Papakura Museum,-37.06397029999999,174.942195,"209 Great South Road, Papakura, Auckland","tourist_attraction,museum,point_of_interest,establishment",tourist_attraction
ChIJV_Sll5lODW0R1RyveHBjh3U,Central Park,-37.06630909999999,174.9454438,"Great South Road, Papakura, Auckland","park,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJjdyXe7Ktcm0RjTIA4PtQOYA,Hays Creek Falls,-37.077596,175.0082578,"10 Hays Creek Road, Hunua","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJh-k-AH2jcm0RuHALXXxmMK4,Hunua Ranges Regional Park,-37.066771,175.0896316,"203 Falls Road, Hunua","park,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJFUUc6nWvcm0RCxIJLJ9dvWE,Hunua Falls,-37.0687724,175.0897736,"Hunua Ranges Regional Park Falls Road, Hunua","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJRVrTMwBlDW0Rf7KoloMJoa0,Cutter rock,-37.04548299999999,174.5015411,"Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJUzMaBuZlDW0RrVs1CFNGnEE,Ninepin Rock,-37.05045359999999,174.5032813,"WGX3+R8, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJEeHJ5splDW0RyKPh4d3nEzI,Whatipu Caves Track,-37.0395182,174.5068926,"Huia, Auckland","tourist_attraction,park,point_of_interest,establishment",tourist_attraction
ChIJB5HHvtJlDW0RuMaL3q5uqnI,Omanawanui Track,-37.0410681,174.5128005,"Huia, Auckland","tourist_attraction,park,point_of_interest,establishment",tourist_attraction
ChIJ8WSbGfNmDW0RZG7cQ_a_3p8,Manukau Heads Lighthouse,-37.0506107,174.5457743,"759 Manukau Heads Road, Manukau Heads","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJOxA5GMxnDW0R9lFWwtWLlDo,Manukau Heads Maori Carvings,-37.0493806,174.5488642,Manukau Heads,"tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJqRCYdwBdDW0RvVqgVhbPomA,Big Bay Beach,-37.0413437,174.6351888,Auckland,"tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJVftkhh1RDW0RohBSCy4cjXQ,Stairs of Empowerment,-37.0383807,174.8564475,"135 Palmers Road, Clendon Park, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJybhiqF5SDW0RTY86ERtjlrM,Tington Wetlands Reserve,-37.0429158,174.8933785,"Wattle Farm Road, Wattle Downs, Auckland","tourist_attraction,park,point_of_interest,establishment",tourist_attraction
ChIJA3q_ySNTDW0RsbQg9Y9ll04,Tuatahi Bridge,-37.0352925,174.9056637,"17 Holmes Road, Manurewa, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJ-b4gbHetcm0Rr7M35V1_js8,New Zealand Warbirds Association,-37.0328658,174.9762056,"824 Harvard Lane, Ardmore","museum,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJa4yoMxFmDW0R02G_UYQ3c0E,Donald Mclean Lookout,-37.014708,174.5377699,"Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJZTgrYD9mDW0RjUPulCMT3S0,Manukau Harbour Lookout,-37.02227,174.5469567,"81 Whatipu Road, Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJOWpWk39oDW0RseW0GTkApEE,Huia Settlers Museum,-37.0049755,174.5622984,"1251 Huia Road, Huia, Auckland","museum,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJTdEggtBnDW0R82_w6PoQsiY,Huia Point Lookout,-37.0094203,174.5753703,"Huia Point Lookout Road, Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJMSgkYVhdDW0R1AECc2nl10A,McLachlan Monument,-37.01674149999999,174.607162,"126 Cornwallis Road, Cornwallis, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJFw-6qeBnDW0R6KCheq-dHwc,Kaitarakihi Beach,-37.00735519999999,174.5849804,"Kaitarakihi Road, Huia, Auckland","park,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJeay_zHtNDW0RsLWdJGLvAA8,Auckland Botanic Gardens,-37.0128163,174.9077139,"102 Hill Road, The Gardens, Auckland","tourist_attraction,park,point_of_interest,establishment",tourist_attraction
ChIJ64bbfOBNDW0RnDDQeSibf3s,Totara Waterfall,-37.0038649,174.9060449,"25 Nyssa Place, Totara Heights, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJa_RqYDNNDW0R8aEtmssczW0,BestDrives New Zealand Limited,-37.0051198,174.9205393,"21 Phoenicia Court The Gardens, Manurewa, Auckland","tourist_attraction,travel_agency,point_of_interest,establishment",tourist_attraction
ChIJEQCnc2tvDW0RwKmXGlVegg8,Karekare Falls,-36.9860605,174.4822624,"Huia, Karekare","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJkc5MqExvDW0R6uWvTwlwlcE,Hinerangi Pou,-36.97531,174.468032,"2/20 Log Race Road, Piha","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJi6upatlnDW0Rctsnqtdaeo8,Karamatura Falls and Tom Thumb kauri tree,-36.9994721,174.5443719,"Huia Road, Huia, Auckland","park,tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJYTH_dyBmDW0RvaM_gVL_MwE,Karamatura Falls,-36.9996427,174.5443782,"Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
ChIJs6v-7Q9pDW0R_kIe6egg0Ac,Magical Park - Huia Reserve,-36.9989397,174.5686635,"Huia Road, Huia, Auckland","tourist_attraction,point_of_interest,establishment",tourist_attraction
