place_id,author_name,rating,text,time,relative_time,language,review_id
ChIJi0AjXABTDW0RJIGlxzy14Ok,Glenda Thomas,4,Fabulous for a walk,1752439580,a month ago,en,5207cc479e1f6f20d9c789ee
ChIJde6YUdSscm0RwrJBcuGmb3U,Harpreet Kaur,1,"Zero star for this, I had a very disappointing experience at this shop. I went to get my baby’s photo clicked for an online application, and the photographer charged me for the service. However, when I tried to upload the photo, it was rejected due to the wrong size.

When I called to ask about this, instead of offering a solution, the photographer told me I needed to crop it myself. If I had to do it myself, what was the point of paying for the service? On top of that, he was extremely rude and unprofessional, claiming he was the “owner” of the shop and speaking in a disrespectful manner. This is not how you treat customers. I would not recommend this place to anyone looking for professional service.",1738970749,6 months ago,en,b073f7b11bcf1bc6ce7e1ffd
ChIJde6YUdSscm0RwrJBcuGmb3U,SamAiyan,1,"I had a terrible experience at Papakura Photo Image Centre. The person taking the photo was extremely rude and unprofessional, claiming to be the “owner” while speaking in a very disrespectful manner. They are not professionals and clearly do not know how to take photos properly.

I went to get a photo done today, but when I tried to upload it, it was rejected due to the wrong size. On top of that, the service was awful—very, very rude and dismissive. This is not how you treat customers.
Save your money and go elsewhere! I would not recommend this place to anyone looking for professional service.",1740356212,5 months ago,en,da3f6e0151676a562e1ffdb2
ChIJde6YUdSscm0RwrJBcuGmb3U,beck SiTou,1,"No star they should have, experience with "" Papakura Photo Image Centre""  was extremely disappointing. Not only they charge double the price more than warehouse stationery for the printout, but the quality of the printout itself was a complete nightmare, Apart from that, they can not take passport photo as well. they won't follow the instruction. last year photo took from there can not be use. and the print out this time can not  be use aswell.  The person assisting me seemed incompetent and uninterested in providing good service slow and horrible quality . Regrettably, this encounter reflects a lack of care for quality and customer satisfaction. The overall service and product were far below acceptable standards.",1692265207,a year ago,en,1b18ccd7019d900458477442
ChIJde6YUdSscm0RwrJBcuGmb3U,Karmen,1,"Want to start your day off in a foul mood? come here! Arrived with ID in hand and said “Good morning, I believe I have mail here” (this is a drop off point for some courier services) he didn’t take my ID and just responded “No” I went away to get my phone and came back to show the email saying it was there. He goes on to say nothing had been delivered, asks my name then turns around to a moderate sized stack of packages and pulls my one out. I show my ID to prove it’s mine, he hands it over and that’s the end of it. What a way to treat ppl, if you can’t be bothered servicing ppl, don’t offer the “service”",1701979357,a year ago,en,77b76126deab67c7f385b585
ChIJde6YUdSscm0RwrJBcuGmb3U,Christine Gabriel,2,"Had passport photos done. Paid $8 more than what my family member paid for at the mangere pharmacy at the town centre just a week apart. Photo service no different to that of my fam member, only the price.",1697620851,a year ago,en,b21c3e7fe94fc831b3da1f3c
ChIJ5zWcqtWscm0R6OcsEEFPjS0,Jess D,5,,1528686893,7 years ago,,0c97a60a877d90dde8915f74
ChIJX_rGozBTDW0RmVC1KGXWh6Y,shane dyer,4,"Awesome little shopping village. Can't wait for the butcher too open tomorrow.
31/03/2021",1624430693,4 years ago,en,0300afc1ad248d613f9dc98d
ChIJX_rGozBTDW0RmVC1KGXWh6Y,John McKay,5,"Nice shops. Only half full at the moment, I'm sure Covid hasn't helped because people are nervous to open new business. Could use a dairy.",1606876020,4 years ago,en,d268db8525e3a6a64456328c
ChIJX_rGozBTDW0RmVC1KGXWh6Y,Sandra Knights,5,Just checked out new butcher's awesome  friendly customer service and large range of meat I have been looking for a good butcher closer to home I have found it yay  just filled up my freezer thank you,1623743010,4 years ago,en,529542f68ace2a4899b9b715
ChIJX_rGozBTDW0RmVC1KGXWh6Y,Fergus Lowrey,5,Hexing Takeaway    healthy fresh chinese cuisine...,1607324190,4 years ago,en,3c5e917cb943f1a5136853b8
ChIJX_rGozBTDW0RmVC1KGXWh6Y,Carl Rowe,5,"Clean, good selection, reasonable prices",1634491650,3 years ago,en,460ba605f78f2a2cd6ba37b5
ChIJTfOOisFSDW0R4FxjgHegXVU,Sione Tuiano,1,They don't even answer the phone or to any of my emails. So its probably happen to everyone else. Not a cheap company to deal with. I need my balance and all I get is nothing.,1639407661,3 years ago,en,c78104266ad2794226ade721
ChIJTfOOisFSDW0R4FxjgHegXVU,Matthew Griffiths,1,"Not a good company to deal with - They even tried to get someone else to come around and sell something else, totally ignored the fact, i had a (No sales personal) policy sign on both doors. Don't deal with these people, no return policy applies, if product is broken, and you get charged double the amount.",1598328086,4 years ago,en,a6be8344763ca769979c5d77
ChIJTfOOisFSDW0R4FxjgHegXVU,Jimmy clark,1,Geeze my boombox speaker is meant to have been paid beginning of March and they still taking $35 a week out. Waste the time ringing them they never answer the phone.,1647563891,3 years ago,en,1154d9b01a51a2456a2798ab
ChIJTfOOisFSDW0R4FxjgHegXVU,Pene MoekeY,1,I was paying for years and they have finally stopped the payments now i want a balance of what i paid as i might be in credit they were good at first now they don't answer calls or anything how can we get in touch with these rip offs please,1661399761,2 years ago,en,79be8b9199f382af55e823d8
ChIJTfOOisFSDW0R4FxjgHegXVU,Karleen Singh,1,This place was good until a few months ago now I've lost all number for them can't get ahold of them does anyone have a number for them please,1657741164,3 years ago,en,bf25b773ee7e569212b02b6d
ChIJETs9bgBPDW0RCQZzJvoTikE,Tii,2,No greetings and all standing at the desk talking to each other nd the other fella singing away didn’t provided assistance.,1738205651,6 months ago,en,77de883bdcb1447179af5e66
ChIJETs9bgBPDW0RCQZzJvoTikE,Michael Liang,5,"Wonderfull service, waited a bit longer at checkout but it's understandable being a boxing day sale, A+",1736123615,7 months ago,en,0e3c48433e587651753661c5
ChIJETs9bgBPDW0RCQZzJvoTikE,Shylaa,1,"Terrible service, Won’t be returning",1730513225,9 months ago,en,e11114920bdb862ea9280255
ChIJx8Xqy7RPDW0R4sM56_svBBE,Jayde Crawford,5,Thank you to lovely Donna for helping me at 645pm lastnight. Appreciate you helping my 10 year old daughter sort stuff for her new bedroom while I was busy tending to my crying baby. I was able to keep both kids happy all while getting things checked off my list 😊,1752238746,a month ago,en,e24eac5646af1c7e3994da3c
ChIJx8Xqy7RPDW0R4sM56_svBBE,Naoki hirao,1,"I rarely leave reviews, but I felt compelled after my visit. The customer service was disappointing—no greeting and not even a thank you when I purchased item. I felt completely unwelcome. A simple “hello” or acknowledgment would’ve made a big difference. Won’t be returning.",1749966158,a month ago,en,d1e33e935820c1921ef8b9f1
ChIJx8Xqy7RPDW0R4sM56_svBBE,Lainz,2,"Came in for Xmas shopping and purchased a few items. One of them I couldnt find a certain colour of in a bulk bin. Isabelle at the counter was really unpleasant to deal with, had no intention of helping and seemed to want to be as difficult as possible. Her colleague stepped in and found the product for us to resolve the issue. If she wants to work with customers in retail, an attitude adjustment is very much needed.",1735503257,7 months ago,en,21058e334f366101227fc133
ChIJx8Xqy7RPDW0R4sM56_svBBE,Delaine Walker,1,I have been to the store twice and I am disappointed with the lack of customer service provided. The manager and shop assistant do not care and I will not be returning to this store after this experience.,1748580930,2 months ago,en,64131f12aa0a41cff27a7b01
ChIJx8Xqy7RPDW0R4sM56_svBBE,Mishthi Dhankher,5,"Lovely and helpful staff, had a very pleasant experience shopping :)",1749023295,2 months ago,en,13216433c34d1599140b6ee4
ChIJC9BNaQBPDW0R5oDFNBUOdQE,S Park,1,"Two ladies seem to be the only staff present and check out extremely busy obviously. Perhaps this store is short staffed and should consider hiring more people for the sake of smooth operation. I requested for specific sizes for the kids fleece they confirmed that they have in stock, they’d grab them from the back for me then the next 20 minutes or more they kept looking at me and prioritised people paying at the counter. I was going to purchase the fleece pullovers once one of them grab them from the back but that never happened. In the end I hopelessly left after seeing staff on the left stopping the other staff from helping me and gave her sign to serve the customer in the line first instead. By the way, my enquiry came through way before that person even lined up. Probably 3-4 people that joined the queue after my enquiry got served when I still patiently waited. I understand you guys were busy but service could’ve been more professional for example first come first serve (duh) and providing a genuine apology?

Also considering how big the brand is in the country it was shocking to see none of them were wearing a name badge.Terrible macpac store experience ever.",1750580360,a month ago,en,8f609bf6f107160ed61aaee8
ChIJC9BNaQBPDW0R5oDFNBUOdQE,Davis Thomas,5,"★★★★★

Had an excellent shopping experience at Macpac in Manawa Bay! Jass welcomed us with a warm smile and took the time to explain the ongoing sale in detail. She was incredibly knowledgeable and provided great insights about the product we enquired about. Her friendly and helpful attitude made our visit truly enjoyable. Highly recommend visiting this store—great service and great products!",1741755004,5 months ago,en,6b6b33b8dfa9f720d6a297a4
ChIJC9BNaQBPDW0R5oDFNBUOdQE,Lasini Latu,5,"Served by Manish the store manager. Absolutely delightful, respectful and patient man - he was. I couldn’t get the things done I needed but he directed me to the right source and problems are being solved. Grateful for Manish!",1747603957,2 months ago,en,2a646a5307ec4460033b0963
ChIJC9BNaQBPDW0R5oDFNBUOdQE,jester da hybeat,5,"Very good price n service. I planned to just have a look around, and ended up buying many quality stuff with only a $140 bill!",1748135834,2 months ago,en,487db0c3f6fd2f5ab4625827
ChIJC9BNaQBPDW0R5oDFNBUOdQE,Brendan Clough,1,Not an issue I have had with this specific store but the macpac online purchasing. Made an order...received a confirmation email...then no further communication or delivery. Tried contacting through the website form and sent several emails asking for an update or clarification. Still nothing. Terrible customer care....as others have mentioned in reviews....customer care really doesn't seem a priority for macpac. So here I am leaving a one star review in the hope of actually generating a response and some action to resolve the issue,1732729968,8 months ago,en,8b4649a195e96678c188ef84
ChIJu9MLnctNDW0R76a0DISm7OU,R T,4,"love shopping here and walking around to get some steps in lol. The fence of playground I really like as its safe, however it definitely needs an upgrade. Hopefully the playground will be updated soon as there's alot of parents who love to take their kids here",1749435095,2 months ago,en,fb2069f9b91fcb7de6fbd8b6
ChIJu9MLnctNDW0R76a0DISm7OU,Angela Ritchie,5,"I just love this place. So many stores in one area including at least 2 factory priced clothes boutiques. Kmart is open 24hours and there's even 2 coffee shops. Very enjoyable.

The car traffic can get a bit full, literally bumper to bumper but it's always moving.

Something for everyone here!",1746646819,3 months ago,en,63fc3b6437ddded65c0633d5
ChIJu9MLnctNDW0R76a0DISm7OU,Jessica Mativa,5,Great customer service.  Very helpful.  App is especially useful.  Can find what product snd which aisle it's located at.  Simplicity at its best,1743910539,4 months ago,en,ae4e4b0917c8ed13e9a3e584
ChIJu9MLnctNDW0R76a0DISm7OU,V C,5,"Great place to shop, good parking space spacious stores",1744352790,4 months ago,en,471c46cf600c9c2c60b53051
ChIJu9MLnctNDW0R76a0DISm7OU,E S Reyes,5,Me and my family's go to for anything electronic related devices and appliances. The staff are nice and really helpful. Lots of deals everyday. Easy return or replacement for faulty items or change of mind.,1750975227,a month ago,en,0aa8c83094184a0373b175f3
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,Richie,5,Went to check shops here and buy some Dumbbells from here. Great place for getting few of the things one may want or like.,1747007936,3 months ago,en,6eefce89a0608b472181e510
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,Madan Senthil,4,Lot of shops in one place... Heaps of parking as well..,1642616762,3 years ago,en,2fe241adb4f0e1abd0dfb2a6
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,Mandz Pounamu,5,Didn't like it wonton soup was not wonton soup it was dumplings not a fan. I didn't like it,1749273530,2 months ago,en,02f64628863a9bd8aeed6dd4
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,brent parsons,1,"Went into PEACHES AND CREAM to checkout the BOXING DAY SALE. What a joke that store is. Maybe a dozen different produces were discounted by 10 % . End of story for the BIG SALE advertised.  The old man behind the counter was miserable,  spoke in a sour tone and scruffy. Never again will I step foot inside that store.",1703897609,a year ago,en,4f60002d3302beea09c8b617
ChIJUZ5t1sZNDW0RmJKd3_zo-jA,Puneet Anand,1,"Went after long time as we love South Indian food and I always prefer saffron over satya and sahana but sorry to say food is drastic bad today. Coconut chutney smells bit stale. Dosas served to table are very tiny and in our table all dosa served are having burnt flavour. Potato bhaji in the second serving I found fresh, first one taste stale . They can easily serve buffet in big chaffing dishes as they know what people eat half chafers which are not full enough gets empty  fast plus less staff make guest waiting in queue. Today there is a manager who is polite but previously I feel there is owner who is more spontaneous to the people need. I feel even the chef has changed too. Tea is cold told to the manager and changed to new one by manager but it’s still Luke warm.Please take this as suggestion not as a complaint as a regular customer it feels bad to see ur favourite joint going down in term of standards and service.",1684638700,2 years ago,en,4c3e6746c283bbe85517c27f
ChIJS7YXr3lODW0RKnXqcBZPlxI,Steve,5,Very convenient place to do groceries. Parking is ok there are times where it gets busy but all in all pleasant shoping experience,1752732535,3 weeks ago,en,0d20410d20b60ee6fc37a0b5
ChIJS7YXr3lODW0RKnXqcBZPlxI,Ruth Roselyne T,5,"Clean organise I particularly love their produce aisle🥰 thanks for reading, okay bye!!",1747202957,3 months ago,en,fceb9c17327e1cc349f673fc
ChIJS7YXr3lODW0RKnXqcBZPlxI,Zia Narayan,5,"Love shopping here.
everything is just perfect from customer service to finding items, and the store is so clean",1747206370,3 months ago,en,32643221cb3c536b7e234b8a
ChIJS7YXr3lODW0RKnXqcBZPlxI,akanoa Luke,5,Great mall for malling. Security and retailers are so kind. Keep up the awesome work 😄👍🏾,1747085173,3 months ago,en,34beb620895f49098d71523c
ChIJS7YXr3lODW0RKnXqcBZPlxI,tracey cameron,5,Pre made food. Very nice ☺️,1753756368,2 weeks ago,en,ca0ccc55ab03fa175bb271ae
ChIJ7R-fEbNNDW0R5KihkMDYXOk,Jasdeep Singh,5,high selection of good products for a bargain! The customer service is also sweet as. I would highly recommend,1732509415,8 months ago,en,89cd1ce3b43290b145223d8f
ChIJ7R-fEbNNDW0R5KihkMDYXOk,balwinder singh,5,Great service and exceptional quality of electronics gadgets.,1753683159,2 weeks ago,en,519ffda713b63e7be0f0a4ec
ChIJ7R-fEbNNDW0R5KihkMDYXOk,Joreen Narayan,5,Ravi is best customer service go and meet him,1753762431,2 weeks ago,en,40fa85053ab09739e7dd83fe
