place_id,name,lat,lng,address,types,rating,user_ratings_total,phone,website,opening_hours_present,source_query
ChIJ1QL4cyBdDW0RcU21rEmrs2A,Awhitu Environmental Camp,-37.1015887,174.6560049,"Regional Park Brook Road, Āwhitu 2684, New Zealand","campground,establishment,lodging,park,point_of_interest",5.0,3.0,,,False,grid_classic_park
ChIJL8iQ5ElfDW0RGehL9xBV-lY,Āwhitu Presbyterian Camp,-37.1019784,174.6560365,"336 Hatton Road, Āwhitu 2684, New Zealand","campground,establishment,lodging,park,point_of_interest",4.8,10.0,,,False,grid_classic_park
ChIJgZyA-UtfDW0RvhGJL0vdwOQ,Brooks Beach,-37.0955837,174.6575846,"320 Hatton Road, Āwhitu 2684, New Zealand","establishment,park,point_of_interest",4.7,7.0,,,True,grid_classic_park
ChIJQ8v7JchfDW0RkBCT_X4qltU,Awhitu Regional Park lookout,-37.0991038,174.6537831,"WM23+9G, Āwhitu 2684, New Zealand","establishment,park,point_of_interest",4.5,2.0,,,False,grid_classic_park
ChIJTemh4BVfDW0RD5QuEaMt02k,Peninsula Campground,-37.0936106,174.6553881,"WM44+H5, Āwhitu 2684, New Zealand","campground,establishment,lodging,park,point_of_interest",5.0,9.0,+64 210 407 954,https://www.aucklandcouncil.govt.nz/parks-recreation/stay-at-park/Pages/accommodation-details.aspx?itemID=16,False,grid_classic_park
ChIJ-2xVMiJfDW0RGW9tBij3dQU,Brook campground,-37.0937114,174.6529979,"WM43+G5, Āwhitu 2684, New Zealand","campground,establishment,lodging,park,point_of_interest",5.0,1.0,,,False,grid_classic_park
ChIJOX9eY7xdDW0R5IcRfY3lagk,Kauritutahi Beach,-37.0909044,174.6534964,"Āwhitu Regional Park Brook Road, Āwhitu 2684, New Zealand","establishment,park,point_of_interest",4.4,7.0,,,False,grid_classic_park
ChIJs9aSylVTDW0R_uDv6yLa0J8,Fortland Park,-37.0991502,174.8768047,"6 Dyke Road, Karaka 2580, New Zealand","cafe,establishment,food,park,point_of_interest",5.0,1.0,,http://www.fortland.nz/,False,grid_classic_park
ChIJx5mzgHVUDW0RIaBJ8HtZycc,Karaka Recreational Reserve,-37.1009769,174.8799187,"Auckland 2580, New Zealand","establishment,park,point_of_interest,premise,street_address",,,,,False,grid_classic_park
ChIJm4pP2_ZTDW0R009HejJ3qr0,Karaka Landing,-37.0853315,174.9071285,"370 Hingaia Road, Karaka 2580, New Zealand","establishment,park,point_of_interest",4.3,38.0,,,False,grid_classic_park
ChIJvzkOj6xTDW0R_-ObfCIFc6o,Hingaia Reserve Freedom camping for SCV,-37.0854904,174.9076664,"370 Hingaia Road, Karaka 2580, New Zealand","campground,establishment,lodging,park,point_of_interest",3.9,32.0,,https://www.aucklandcouncil.govt.nz/parks-recreation/freedom-camping-auckland/Pages/freedom-camping-papakura.aspx,True,grid_classic_park
ChIJG_juLMdTDW0RTW2Fe-wiSd4,Bremner Esplanade Reserve,-37.0967329,174.9393789,"Karaka 2113, New Zealand","establishment,park,point_of_interest",3.0,1.0,,,False,grid_classic_park
ChIJp6ksBDitcm0R20kdU8ufSp8,Auranga Dog Park,-37.098897,174.9409548,"213 Bremner Road, Karaka 2113, New Zealand","establishment,park,point_of_interest",4.0,43.0,,,True,grid_classic_park
ChIJ54h4GrOscm0RoExaCowDvto,Parkhaven Reserve,-37.0900056,174.9418389,"80 Parkhaven Drive, Rosehill, Auckland 2113, New Zealand","establishment,park,point_of_interest",4.6,10.0,,https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/default.aspx,True,grid_classic_park
