place_id,name,lat,lng,address,category,types,rating,user_ratings_total,phone,website
ChIJF2_wv4lHDW0R47WKR5aSdmE,Onslow,-36.84768529999999,174.7699566,"9 Princes Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.8,1331,+64 9 930 9123,http://www.onslow.nz/
ChIJKZLQLLRHDW0R_F9vtz1cjiQ,alma,-36.84408579999999,174.7691648,"130 Quay Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,413,+64 9 242 1570,http://www.alma.nz/
ChIJS_i53flHDW0R6H8fEWgxVfk,Soul Bar & Bistro,-36.8434055,174.7630167,"Corner of Lower Hobson Street, Customs Street West, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.5,2338,+64 9 356 7249,http://www.soulbar.co.nz/
ChIJn3Evd2xHDW0RWNG-B0TrPxg,Ahi.,-36.84356150000001,174.766454,"Commercial Bay Level 2/7 Queen Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,1106,+64 22 524 4255,http://ahi.restaurant/
ChIJzV2foiBGDW0ROPBzbgZDJuc,One Tree Grill,-36.8998252,174.77273,"9 Pah Road, Epsom, Auckland 1023, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.8,1604,+64 9 909 7215,https://www.onetreegrill.co.nz/
ChIJjz8Dgf5HDW0RcKfgUZdV8fw,Amano,-36.8444119,174.770464,"66 - 68, Tyler Street, Britomart Place, Auckland Central, Auckland 1010, New Zealand",restaurant,"bakery,establishment,food,point_of_interest,restaurant,store",4.6,4423,+64 9 394 1416,https://savor.co.nz/amano
ChIJk7fiDvBHDW0R9qAp_JPxDeE,Depot,-36.8490404,174.762373,"86 Federal Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,2050,+64 9 363 7048,https://depoteatery.co.nz/
ChIJFVXaZgU5DW0R9CGge9LDFoc,The Postman's Leg,-36.7839458,174.7226072,"43-51 Downing Street, Glenfield, Auckland 0629, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.2,2444,+64 9 444 7325,https://www.stargroup.nz/venues/the-postmans-leg
ChIJKWPi4S5HDW0R-Ao9My5Mf48,Gilt Brasserie,-36.84765489999999,174.7671961,"2 Chancery Street, Chambers, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,648,+64 9 300 3126,https://giltbrasserie.nz/
ChIJdQU6o-RHDW0RBI93MBK5gcU,Hello Beasty,-36.8431117,174.7624635,"95-97 Customs Street West, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,1419,+64 21 554 496,http://hellobeasty.nz/
ChIJ6esl0z5HDW0RL8AMaU22H8k,Tempero,-36.8580455,174.757105,"352 Karangahape Road, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",5.0,470,+64 9 218 2011,http://www.temperoakl.com/
ChIJZRJ2-fpHDW0RbWGgZq__SR4,Culprit.,-36.8473823,174.7650338,"Level 1/12 Wyndham Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,594,+64 9 377 5992,http://www.culprit.co.nz/
ChIJ2f8MNVNHDW0Rlapwj_a7m2w,Origine Bistro,-36.8439762,174.7661423,"Commercial Bay Level 2/172 Quay Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.5,426,+64 27 674 4463,http://www.origine.nz/
ChIJMTPDyKdHDW0RrQ05a1Yl4hI,Milenta,-36.8485532,174.7546801,"210-218 Victoria Street West, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,307,+64 274 404 410,http://www.milenta.co.nz/
ChIJI-nDigpHDW0R3viWyJ_06Yc,Paname Social,-36.8495923,174.7658133,"1/3 Lorne Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,cafe,establishment,food,point_of_interest,restaurant",4.3,294,+64 9 884 0983,https://www.panamesocial.co.nz/?fbclid=PAAaaXQSPI3joeLPNoRLab4I5l7rWlAQLA_ECggdM8gEhv_l--75ubGUZiiQ4
ChIJi1WB6AdHDW0R0WK3WE8zXQg,Ada Restaurant,-36.8672616,174.7402636,"454 Great North Road, Grey Lynn, Auckland 1021, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,911,+64 210 909 0101,http://www.adarestaurant.co.nz/
ChIJXUoYKw45DW0RVnRNKzfKFuw,Paasha,-36.7807211,174.7213061,"444 Glenfield Road, Glenfield, Auckland 0629, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.5,1185,+64 9 444 4262,https://paashaglenfield.co.nz/
ChIJC-hvnDpHDW0RXuKc8YA3m-8,BODA,-36.84454,174.7671976,"Top Floor/8 Customs Street East, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.2,248,+64 9 302 9424,https://boda.restaurant/
ChIJ6xqrBUpHDW0RTkGfs86hr6c,Metita,-36.849185,174.7623444,"Level 3/90 Federal Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,213,+64 9 363 7030,https://skycityauckland.co.nz/restaurants/metita/
ChIJxcY1GSJHDW0RZ__hwRVJPnw,Mr. Morris,-36.844765,174.7682328,"Britomart, Corner of Galway & Commerce Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,377,+64 9 869 5522,http://www.mrmorris.nz/
ChIJQ3yEHpFHDW0Rka8ZeCQTnsc,Prego Restaurant,-36.852697,174.744828,"226 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,2045,+64 9 376 3095,http://www.prego.co.nz/
ChIJH0QT3l9HDW0R0f5rIVly8yw,Bossi,-36.8455876,174.7680713,"10 Commerce Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,1001,+64 9 948 0906,http://www.bossi.co.nz/
ChIJ7UV0PmA4DW0R44MsmijS--o,Moxie Restaurant,-36.8176563,174.7325474,"82 Hinemoa Street, Birkenhead, Auckland 0626, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.8,552,+64 9 419 9082,http://www.moxierestaurant.co.nz/
ChIJDwwNeYRHDW0R6CVXXf7s9sc,Paris Butter,-36.8454642,174.7370108,"166 Jervois Road, Herne Bay, Auckland 1011, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.7,396,+64 9 376 5597,http://www.parisbutter.co.nz/
ChIJ43y8JLQ5DW0RMN47Whk85wY,Bushman's Grill,-36.7909021,174.7489471,"31 Northcote Road, Hillcrest, Auckland 0627, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.5,1658,+64 9 418 0056,http://bushmansgrill.co.nz/
ChIJsR8Kx2k4DW0RjYOZyig1xDw,The Engine Room,-36.8180556,174.7455556,"115 Queen Street, Northcote Point, Auckland 0627, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.5,383,+64 9 480 9502,http://www.engineroom.net.nz/
ChIJLTxNV-VHDW0RQgvsgS0ZHkk,Tony's Original Steak & Seafood Restaurant,-36.8503322,174.7632109,"27 Wellesley Street West, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.5,2825,+64 9 373 4196,http://tonys.co.nz/
ChIJWeTIvflHDW0RR2h4JBSQWlk,Beast & Butterflies Auckland,-36.8428577,174.7644086,"196/200 Quay Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,cafe,establishment,food,point_of_interest,restaurant",4.5,453,+64 9 377 0349,https://www.beastandbutterflies.co.nz/
ChIJY9z4w_tHDW0RMU8TjUu4Q_Q,Cooke's Restaurant & Bar,-36.845543,174.7665245,"58/60 Queen Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.5,161,+64 9 309 9979,https://cookesrestaurant.co.nz/
ChIJJWI_HcNHDW0RcZ0KKhCVmDQ,KAZUYA restaurant,-36.8631771,174.7609027,"193 Symonds Street, Eden Terrace, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.8,327,+64 9 377 8537,http://www.kazuya.co.nz/
ChIJJdsozvVHDW0RGpYtg7jcwyI,Baduzzi,-36.84108,174.7570445,"10/26 Jellicoe Street, North Wharf, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.5,2453,+64 9 309 9339,http://www.baduzzi.co.nz/
ChIJAb5Q7vtHDW0R9u_uz-mFnZY,Cassia,-36.849185,174.7623444,"90 Federal Street, Auckland Central, Auckland 1010, New Zealand",restaurant,"establishment,food,point_of_interest,restaurant",4.6,864,+64 9 379 9702,https://skycityauckland.co.nz/restaurants/cassia/
ChIJB2rmNupHDW0RDxt4gaYTl1Y,Otto Restaurant,-36.857933,174.7565533,"375 Karangahape Road, Auckland Central, Auckland 1010, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.7,1249,+64 9 394 1555,https://www.otto-krd.nz/
ChIJNwODoPpHDW0Rz7CT2fSmrmY,The Glass Goose,-36.8485799,174.7627243,"78 Federal Street, Auckland Central, Auckland 1011, New Zealand",restaurant,"bar,establishment,food,point_of_interest,restaurant",4.1,1059,+64 9 379 9404,http://www.glassgoose.co.nz/
