place_id,name,lat,lng,address,types,rating,user_ratings_total,phone,website,opening_hours_present,source_query
ChIJF2_wv4lHDW0R47WKR5aSdmE,Onslow,-36.84768529999999,174.7699566,"9 Princes Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.8,1331,+64 9 930 9123,http://www.onslow.nz/,True,restaurant in Auckland
ChIJKZLQLLRHDW0R_F9vtz1cjiQ,alma,-36.84408579999999,174.7691648,"130 Quay Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,413,+64 9 242 1570,http://www.alma.nz/,True,restaurant in Auckland
ChIJS_i53flHDW0R6H8fEWgxVfk,Soul Bar & Bistro,-36.8434055,174.7630167,"Corner of Lower Hobson Street, Customs Street West, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.5,2338,+64 9 356 7249,http://www.soulbar.co.nz/,True,restaurant in Auckland
ChIJn3Evd2xHDW0RWNG-B0TrPxg,Ahi.,-36.84356150000001,174.766454,"Commercial Bay Level 2/7 Queen Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,1106,+64 22 524 4255,http://ahi.restaurant/,True,restaurant in Auckland
ChIJzV2foiBGDW0ROPBzbgZDJuc,One Tree Grill,-36.8998252,174.77273,"9 Pah Road, Epsom, Auckland 1023, New Zealand","establishment,food,point_of_interest,restaurant",4.8,1604,+64 9 909 7215,https://www.onetreegrill.co.nz/,True,restaurant in Auckland
ChIJjz8Dgf5HDW0RcKfgUZdV8fw,Amano,-36.8444119,174.770464,"66 - 68, Tyler Street, Britomart Place, Auckland Central, Auckland 1010, New Zealand","bakery,establishment,food,point_of_interest,restaurant,store",4.6,4423,+64 9 394 1416,https://savor.co.nz/amano,True,restaurant in Auckland
ChIJk7fiDvBHDW0R9qAp_JPxDeE,Depot,-36.8490404,174.762373,"86 Federal Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,2050,+64 9 363 7048,https://depoteatery.co.nz/,True,restaurant in Auckland
ChIJFVXaZgU5DW0R9CGge9LDFoc,The Postman's Leg,-36.7839458,174.7226072,"43-51 Downing Street, Glenfield, Auckland 0629, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.2,2444,+64 9 444 7325,https://www.stargroup.nz/venues/the-postmans-leg,True,restaurant in Auckland
ChIJKWPi4S5HDW0R-Ao9My5Mf48,Gilt Brasserie,-36.84765489999999,174.7671961,"2 Chancery Street, Chambers, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,648,+64 9 300 3126,https://giltbrasserie.nz/,True,restaurant in Auckland
ChIJdQU6o-RHDW0RBI93MBK5gcU,Hello Beasty,-36.8431117,174.7624635,"95-97 Customs Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,1419,+64 21 554 496,http://hellobeasty.nz/,True,restaurant in Auckland
ChIJ6esl0z5HDW0RL8AMaU22H8k,Tempero,-36.8580455,174.757105,"352 Karangahape Road, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",5.0,470,+64 9 218 2011,http://www.temperoakl.com/,True,restaurant in Auckland
ChIJZRJ2-fpHDW0RbWGgZq__SR4,Culprit.,-36.8473823,174.7650338,"Level 1/12 Wyndham Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,594,+64 9 377 5992,http://www.culprit.co.nz/,True,restaurant in Auckland
ChIJ2f8MNVNHDW0Rlapwj_a7m2w,Origine Bistro,-36.8439762,174.7661423,"Commercial Bay Level 2/172 Quay Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.5,426,+64 27 674 4463,http://www.origine.nz/,True,restaurant in Auckland
ChIJMTPDyKdHDW0RrQ05a1Yl4hI,Milenta,-36.8485532,174.7546801,"210-218 Victoria Street West, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,307,+64 274 404 410,http://www.milenta.co.nz/,True,restaurant in Auckland
ChIJI-nDigpHDW0R3viWyJ_06Yc,Paname Social,-36.8495923,174.7658133,"1/3 Lorne Street, Auckland Central, Auckland 1010, New Zealand","bar,cafe,establishment,food,point_of_interest,restaurant",4.3,294,+64 9 884 0983,https://www.panamesocial.co.nz/?fbclid=PAAaaXQSPI3joeLPNoRLab4I5l7rWlAQLA_ECggdM8gEhv_l--75ubGUZiiQ4,True,restaurant in Auckland
ChIJi1WB6AdHDW0R0WK3WE8zXQg,Ada Restaurant,-36.8672616,174.7402636,"454 Great North Road, Grey Lynn, Auckland 1021, New Zealand","establishment,food,point_of_interest,restaurant",4.6,911,+64 210 909 0101,http://www.adarestaurant.co.nz/,True,restaurant in Auckland
ChIJXUoYKw45DW0RVnRNKzfKFuw,Paasha,-36.7807211,174.7213061,"444 Glenfield Road, Glenfield, Auckland 0629, New Zealand","establishment,food,point_of_interest,restaurant",4.5,1185,+64 9 444 4262,https://paashaglenfield.co.nz/,True,restaurant in Auckland
ChIJC-hvnDpHDW0RXuKc8YA3m-8,BODA,-36.84454,174.7671976,"Top Floor/8 Customs Street East, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.2,248,+64 9 302 9424,https://boda.restaurant/,True,restaurant in Auckland
ChIJ6xqrBUpHDW0RTkGfs86hr6c,Metita,-36.849185,174.7623444,"Level 3/90 Federal Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,213,+64 9 363 7030,https://skycityauckland.co.nz/restaurants/metita/,True,restaurant in Auckland
ChIJxcY1GSJHDW0RZ__hwRVJPnw,Mr. Morris,-36.844765,174.7682328,"Britomart, Corner of Galway & Commerce Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,377,+64 9 869 5522,http://www.mrmorris.nz/,True,restaurant in Auckland
ChIJQ3yEHpFHDW0Rka8ZeCQTnsc,Prego Restaurant,-36.852697,174.744828,"226 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.6,2045,+64 9 376 3095,http://www.prego.co.nz/,True,restaurant in Auckland
ChIJH0QT3l9HDW0R0f5rIVly8yw,Bossi,-36.8455876,174.7680713,"10 Commerce Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,1001,+64 9 948 0906,http://www.bossi.co.nz/,True,restaurant in Auckland
ChIJ7UV0PmA4DW0R44MsmijS--o,Moxie Restaurant,-36.8176563,174.7325474,"82 Hinemoa Street, Birkenhead, Auckland 0626, New Zealand","establishment,food,point_of_interest,restaurant",4.8,552,+64 9 419 9082,http://www.moxierestaurant.co.nz/,True,restaurant in Auckland
ChIJDwwNeYRHDW0R6CVXXf7s9sc,Paris Butter,-36.8454642,174.7370108,"166 Jervois Road, Herne Bay, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.7,396,+64 9 376 5597,http://www.parisbutter.co.nz/,True,restaurant in Auckland
ChIJ43y8JLQ5DW0RMN47Whk85wY,Bushman's Grill,-36.7909021,174.7489471,"31 Northcote Road, Hillcrest, Auckland 0627, New Zealand","establishment,food,point_of_interest,restaurant",4.5,1658,+64 9 418 0056,http://bushmansgrill.co.nz/,True,restaurant in Auckland
ChIJsR8Kx2k4DW0RjYOZyig1xDw,The Engine Room,-36.8180556,174.7455556,"115 Queen Street, Northcote Point, Auckland 0627, New Zealand","establishment,food,point_of_interest,restaurant",4.5,383,+64 9 480 9502,http://www.engineroom.net.nz/,True,restaurant in Auckland
ChIJLTxNV-VHDW0RQgvsgS0ZHkk,Tony's Original Steak & Seafood Restaurant,-36.8503322,174.7632109,"27 Wellesley Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.5,2825,+64 9 373 4196,http://tonys.co.nz/,True,restaurant in Auckland
ChIJWeTIvflHDW0RR2h4JBSQWlk,Beast & Butterflies Auckland,-36.8428577,174.7644086,"196/200 Quay Street, Auckland Central, Auckland 1010, New Zealand","bar,cafe,establishment,food,point_of_interest,restaurant",4.5,453,+64 9 377 0349,https://www.beastandbutterflies.co.nz/,True,restaurant in Auckland
ChIJY9z4w_tHDW0RMU8TjUu4Q_Q,Cooke's Restaurant & Bar,-36.845543,174.7665245,"58/60 Queen Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.5,161,+64 9 309 9979,https://cookesrestaurant.co.nz/,True,restaurant in Auckland
ChIJJWI_HcNHDW0RcZ0KKhCVmDQ,KAZUYA restaurant,-36.8631771,174.7609027,"193 Symonds Street, Eden Terrace, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.8,327,+64 9 377 8537,http://www.kazuya.co.nz/,True,restaurant in Auckland
ChIJJdsozvVHDW0RGpYtg7jcwyI,Baduzzi,-36.84108,174.7570445,"10/26 Jellicoe Street, North Wharf, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.5,2453,+64 9 309 9339,http://www.baduzzi.co.nz/,True,restaurant in Auckland
ChIJAb5Q7vtHDW0R9u_uz-mFnZY,Cassia,-36.849185,174.7623444,"90 Federal Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,864,+64 9 379 9702,https://skycityauckland.co.nz/restaurants/cassia/,True,restaurant in Auckland
ChIJB2rmNupHDW0RDxt4gaYTl1Y,Otto Restaurant,-36.857933,174.7565533,"375 Karangahape Road, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.7,1249,+64 9 394 1555,https://www.otto-krd.nz/,True,restaurant in Auckland
ChIJNwODoPpHDW0Rz7CT2fSmrmY,The Glass Goose,-36.8485799,174.7627243,"78 Federal Street, Auckland Central, Auckland 1011, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.1,1059,+64 9 379 9404,http://www.glassgoose.co.nz/,True,restaurant in Auckland
ChIJY7SzVxRHDW0RcHOdHag7tEM,Esther Restaurant,-36.8452452,174.7596741,"4 Viaduct Harbour Avenue, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.3,462,+64 9 379 9123,http://www.estherrestaurant.com/,True,restaurant in Auckland
ChIJxR38YvxHDW0R-z-ILx9ZXZI,Hugo's Bistro,-36.8471299,174.7688813,"67 Shortland Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.6,226,+64 9 320 4387,http://hugosbistro.co.nz/,True,restaurant in Auckland
ChIJV3nOrvRHDW0R3Hc3DiT5T5k,Sails Restaurant,-36.8390039,174.7432459,"103/113 Westhaven Drive, St Marys Bay, Auckland 1144, New Zealand","establishment,food,point_of_interest,restaurant",4.6,1378,+64 9 378 9890,https://www.sailsrestaurant.co.nz/,True,restaurant in Auckland
ChIJVbK0vthHDW0Rtwx5X7nMVdk,Atelier,-36.85777170000001,174.7579948,"292 Karangahape Road, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,289,+64 9 873 4657,http://www.atelierkrd.co.nz/,True,restaurant in Auckland
ChIJ11dVbfBHDW0RrTQPtgLdDek,Orbit 360° Dining,-36.8484982,174.7621796,"72 - 78 Victoria Street West Level 52, Sky Tower, Victoria Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.3,1605,+64 9 363 6000,https://skycityauckland.co.nz/restaurants/orbit/,True,restaurant in Auckland
ChIJOeEFBfBHDW0RPSLQ3nXiKnQ,MASU by Nic Watt,-36.8492648,174.7623425,"90 Federal Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.5,1078,+64 9 363 6278,https://www.skycityauckland.co.nz/restaurants/masu/,True,restaurant in Auckland
ChIJ6YZIDcNHDW0RRzzlc8dO0Rk,The French Cafe,-36.8644804,174.76103,"210 Symonds Street, Eden Terrace, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.7,653,+64 9 377 1911,https://www.thefrenchcafe.co.nz/,True,restaurant in Auckland
ChIJH2hxFcNHDW0RX46xuTUELGo,Lillius Restaurant,-36.8643028,174.7614604,"19 Khyber Pass Road, Grafton, Auckland 1023, New Zealand","establishment,food,point_of_interest,restaurant",4.8,208,+64 9 217 4069,http://www.lillius.co.nz/,True,restaurant in Auckland
ChIJC5Om_5BHDW0RYIpcsidrOQ8,Farina,-36.851734,174.7445744,"244 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.6,979,+64 9 390 6213,http://www.farina.co.nz/,True,restaurant in Auckland
ChIJPzH5zY9HDW0RQ6E4zQngMQs,Sidart Restaurant,-36.8482513,174.7443542,"283 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.7,519,+64 9 360 2122,http://www.sidart.co.nz/,True,restaurant in Auckland
ChIJvc3DmOhHDW0RJnK1cLFWC1k,Harbour Society,-36.8454947,174.7686658,"Crn. Customs East Street and, Gore Street, Auckland Central, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.3,202,+64 9 379 1860,http://www.harbour-society.co.nz/,True,restaurant in Auckland
ChIJiShcZZlHDW0RLO5gbkGzOO8,KOL Restaurant Auckland,-36.85752129999999,174.7491639,"23 Ponsonby Road, Grey Lynn, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.8,275,+64 21 379 700,https://kolauckland.co.nz/,True,restaurant in Auckland
ChIJHXbNULw5DW0RHgPdHtDDMIc,SangSang,-36.7809739,174.7219275,"8b/111 Bentley Avenue, Glenfield, Auckland 0629, New Zealand","establishment,food,point_of_interest,restaurant",4.5,162,+64 9 200 0474,,True,restaurant in Auckland
ChIJL36E4_lHDW0RpxlDH4605ek,Giraffe,-36.8434292,174.7631201,"85/89 Customs Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.2,991,+64 9 358 1093,http://www.girafferestaurant.co.nz/,True,restaurant in Auckland
ChIJwRczm1JHDW0RFN5dQQ90hrU,Bivacco,-36.8429437,174.7617072,"115 Customs Street West, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.2,511,+64 9 801 6505,http://www.savor.co.nz/bivacco,True,restaurant in Auckland
ChIJl9sFEapHDW0R8tcHwZWhNbc,The Cave Yakitori Bar,-36.8535383,174.7631052,"319 B Queen Street, Auckland Central, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.5,991,+64 9 379 5151,https://tanukiscave.co.nz/,True,restaurant in Auckland
ChIJ94UFpuhHDW0RQ7B1sFdz7IM,Le Garde-Manger,-36.8557591,174.7625981,"466 Queen Street, Auckland Central, Auckland 1010, New Zealand","cafe,establishment,food,point_of_interest,restaurant",4.6,1253,+64 9 362 0655,http://www.legardemanger.co.nz/,True,restaurant in Auckland
ChIJ4VwbgIVHDW0RbrSpXbsyD5s,Jervois Steak House,-36.8461677,174.7418873,"70 Jervois Road, Ponsonby, Auckland 1011, New Zealand","establishment,food,point_of_interest,restaurant",4.5,1515,+64 9 376 2049,http://www.jervoissteakhouse.co.nz/,True,restaurant in Auckland
ChIJmewippZHDW0ROEDfXJu8rtU,Ghost Street (Restaurant),-36.8448476,174.7685447,"Basement level, Tuawhiti Lane, 27 Galway Street, Britomart, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.5,377,+64 9 306 2233,http://ghoststreetakl.nz/,True,restaurant in Auckland
ChIJJ7UknfpHDW0RdDuSCbbrYqM,1947 eatery,-36.8478134,174.7630138,"60 Federal Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,point_of_interest,restaurant",4.2,2299,+64 9 377 0033,http://www.1947eatery.co.nz/,True,restaurant in Auckland
ChIJ6TAx__tHDW0RlkMZG6RqEy0,Cafe Hanoi,-36.8448581,174.7685407,"Tuawhiti Lane, 27 Galway Street, Britomart, Auckland 1010, New Zealand","establishment,food,point_of_interest,restaurant",4.4,1535,+64 9 302 3478,http://www.cafehanoi.co.nz/,True,restaurant in Auckland
ChIJfWpVOfxHDW0REaYXm-GQWZY,Chargrill ️ Grill Restaurant and Bar in Auckland,-36.8461144,174.7688566,"44 Fort Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,food,meal_takeaway,point_of_interest,restaurant",4.6,882,+64 9 373 5252,https://chargrill44.co.nz/,True,restaurant in Auckland
ChIJycLVrfFHDW0RQAndt_DBaZ4,Le Chef,-36.847205,174.7671002,"13 O'Connell Street, Auckland Central, Auckland 1010, New Zealand","cafe,establishment,food,point_of_interest,restaurant",4.4,1198,+64 9 373 4723,https://le-chef.co.nz/,True,restaurant in Auckland
ChIJ64UPbPxHDW0RDj_fTPmFQlk,Ima Cuisine,-36.8464593,174.7687944,"53 Fort Street, Downtown, Auckland 1010, New Zealand","bakery,establishment,food,point_of_interest,restaurant,store",4.3,1040,+64 9 377 5252,https://www.imacuisine.co.nz/,True,restaurant in Auckland
ChIJO2H7lW9HDW0R4cwNUmxR2lU,Queens Rooftop & Wineshop,-36.8435492,174.7668169,"Level 21/1 Queen Street, Auckland Central, Auckland 1010, New Zealand","bar,establishment,point_of_interest",4.3,462,+64 21 161 8430,https://www.queensrooftop.co.nz/,True,restaurant in Auckland
